question,ground_truth,answer,contexts,retrieval_time,generation_time,total_time,total_tokens,cost
What is the probation period for technical roles?,120 calendar days,- The probation period for technical roles is 120 calendar days.,"['or senior management roles, probation is 120 calendar days . ● Any probation may be extended only once , for a maximum of 90 additional days , provided that a Performance Impr ovement Plan (PIP) is appr oved by the HR Director. 2. Criteria for Probation Extension vvaannii33@gmail.com 4C9X1MFLJ7 This file is meant for personal use by vvaannii33@gmail.com only.', 'Performance Review Process ● Mid-pr obation review: Conducted at 45 days for 90-da y probations, or at 60 days for 120-da y probations. ● Final probation review: Conducted within the last 10 working days of the probation period. vvaannii33@gmail.com 4C9X1MFLJ7 This file is meant for personal use by vvaannii33@gmail.com only. Sharing or publishing the contents in part or full is liable for legal action.', 'by these depar tments shall prevail and govern subsequent actions. 1. Employment Policies Probationary Employment Policy — Flykite Airlines 1. Duration of Initial Probation ● All new emplo yees are placed on a probationar y period of 90 calendar days from their oﬃcial start date. ● For technical, safety-critical, or senior management roles, probation is 120 calendar days . ● Any']",0.94,1.98,2.92,558,8.955e-05
How many bereavement leave days are allowed?,Up to 5 consecutive working days,- Up to 5 consecutive working days of bereavement leave are allowed per incident.,"['○ Bereavement and jury duty exceptions still apply , but emplo yee must provide live contact details during leave for investigation-r elated communication. ○ Any leave exceeding 3 days must be appr oved directly by the Chief HR Oﬃcer . 7. Notiﬁcation Process ● Emplo yees must inform their direct super visor at least 48 hours befor e planned leave, except for emer gencies. ●', '5. Additional Conditions for Emplo yees on Probation ● Special leave requests during probation are limited to: ○ Maximum 2 consecutiv e working days for bereavement or emer gency family care. ○ Full jury duty leave is allowed if legally mandated, but probation period is automatically extended by the same duration . ● Appr oval requir es both Super visor and HR Manager sign-off.', 'critical illness or accident. ● Natur al disasters affecting the emplo yee’s primar y residence. ● Other exceptional circumstances appr oved by HR and the Depar tment Head. 2. Entitlement & Duration Limits ● Bereavement: Up to 5 consecutiv e working days per incident. vvaannii33@gmail.com 4C9X1MFLJ7 This file is meant for personal use by vvaannii33@gmail.com only.']",0.21,0.94,1.14,575,9.434999999999999e-05
When is final settlement processed?,Within 7 working days after clearance,"- Final settlement is processed within 7 working days after clearance completion. - Clearance forms must be signed by Finance, IT, and Admin within 3 working days post-termination.","['8. Payroll and Termination Procedures 1. Exit Checklist must be completed within 5 working days of last working day. 2. Final Settlement processed within 7 working days after clear ance. 3. Dela ys due to missing equipment or unpaid advances result in deduction from dues. 9. Performance-Related Employment Extensions 1. Extension Limit : Max 3 months beyond original probation.', '6. Exit Procedur e & Timeline ● Company proper ty (ID badge, uniforms, devices) must be returned on or befor e the last working day. ● Clear ance forms must be signed by Finance, IT, and Admin within 3 working days post-termination. ● Final salar y settlement is processed within 7 working days of clear ance completion. ● Exit inter view: Mandat ory and to be scheduled', '2. Step 2 : Formal complaint → Response within 7 working days. 3. Step 3 : External mediation/arbitr ation within 30 days if unresolv ed. 4. Discipline : Verbal → Written → Final → Termination. vvaannii33@gmail.com 4C9X1MFLJ7 This file is meant for personal use by vvaannii33@gmail.com only. Sharing or publishing the contents in part or full is liable for legal action.']",0.22,1.22,1.44,575,0.00010245
What is the impact of probation on benefits?,"Employees are not eligible for Annual leave encashment,Internal role transfers and Performance bonuses",- Employees on probation (including any extension) are not eligible for:   - Annual leave encashment   - Internal role transfers   - Performance bonuses - Seniority accrual starts only after successful completion of probation.,"['request. ● Emplo yees will be notiﬁed of extensions in writing at least 7 calendar days befor e the probation end date. 3. Impact on Beneﬁts, Seniority , and Contr act ● While on probation (including any extension), emplo yees are not eligible for: ○ Annual leave encashment ○ Internal role transf ers ○ Performance bonuses ● Seniority accrual starts only after successful', 'or senior management roles, probation is 120 calendar days . ● Any probation may be extended only once , for a maximum of 90 additional days , provided that a Performance Impr ovement Plan (PIP) is appr oved by the HR Director. 2. Criteria for Probation Extension vvaannii33@gmail.com 4C9X1MFLJ7 This file is meant for personal use by vvaannii33@gmail.com only.', '5. Additional Conditions for Emplo yees on Probation ● Special leave requests during probation are limited to: ○ Maximum 2 consecutiv e working days for bereavement or emer gency family care. ○ Full jury duty leave is allowed if legally mandated, but probation period is automatically extended by the same duration . ● Appr oval requir es both Super visor and HR Manager sign-off.']",0.2,1.76,1.96,602,0.00011099999999999999
When is the mid-probation review conducted?,"Conducted at 45 days for 90-day probations, or at 60 days for 120-day probations.","- The mid-probation review is conducted at 45 days for 90-day probations. - For 120-day probations, the mid-probation review is conducted at 60 days.","['Performance Review Process ● Mid-pr obation review: Conducted at 45 days for 90-da y probations, or at 60 days for 120-da y probations. ● Final probation review: Conducted within the last 10 working days of the probation period. vvaannii33@gmail.com 4C9X1MFLJ7 This file is meant for personal use by vvaannii33@gmail.com only. Sharing or publishing the contents in part or full is liable for legal action.', 'or senior management roles, probation is 120 calendar days . ● Any probation may be extended only once , for a maximum of 90 additional days , provided that a Performance Impr ovement Plan (PIP) is appr oved by the HR Director. 2. Criteria for Probation Extension vvaannii33@gmail.com 4C9X1MFLJ7 This file is meant for personal use by vvaannii33@gmail.com only.', '○ Performance bonuses ● Seniority accrual starts only after successful probation completion. ● If an emplo yee has two or more extensions in different roles (due to internal transf ers), HR will assess contr act renewal eligibility based on performance history — no automatic carry-over is granted. 4. Performance Review Process ● Mid-pr obation review: Conducted at 45 days for']",0.24,1.36,1.6,578,0.00010515
Within how many days of the final review must confirmation decision be made?,Within 5 working days.,- Confirmation decision must be made within 5 working days of the final review.,"['● Review includes KPI scor ecar d , peer feedback, and compliance checks against company safety and conduct rules . 5. Conﬁrmation or Termination Process ● Conﬁrmation: Requir es written recommendation from the direct super visor and HR validation within 5 working days of the ﬁnal review . ● Termination during probation: ○ Step 1: Verbal warning (documented) within 24 hours of', '○ Appeal must be submitted within 7 working days of claim denial with suppor ting documents. ○ Expense Review Boar d decision is ﬁnal. 6. Customer Data Protection and Privacy vvaannii33@gmail.com 4C9X1MFLJ7 This file is meant for personal use by vvaannii33@gmail.com only. Sharing or publishing the contents in part or full is liable for legal action.', 'case is still under review . 5. Investigation & Resolution Timelines ● HR must initiate a preliminar y review within 3 working days of receiving a repor t. ● Formal investigation begins within 7 working days and must conclude within 30 calendar days unless extended by written executiv e appr oval (max extension: 15 days). ● Both complainant and accused must receiv e: 1.']",0.28,1.06,1.34,546,8.91e-05
What is the time period for reporting suspected violations of equal opportunity and anti-discrimination policies?,Within 15 working days of occurence or discovery.,- The time period for reporting allegations of retaliation against a reporting employee is within 7 calendar days of occurrence. - This applies even if the original harassment/discrimination case is still under review.,"['description . 4. Protection Against Retaliation ● Retaliation (e.g., demotion, shift change, exclusion from training) against a repor ting emplo yee is grounds for immediate disciplinar y action . ● Allegations of retaliation must be repor ted within 7 calendar days of occurr ence, even if the original harassment/discrimination case is still under review . 5. Investigation & Resolution', '2. Equal Opportunity and Non-Discrimination Anti-Discrimination & Harassment Policy — Flykite Airlines 1. Zero-Tolerance Commitment ● Flykite Airlines strictly prohibits discrimination, harassment, or unfair treatment based on race, ethnicity , gender , sexual orientation, marital status, religion, age (18+), disability , or any other legally protected categor y under Section 12 of the Workplace', '11. Workplace Safety and Health 1. Hazar d Repor ting : Within 4 hours of incident disco very. 2. Safety Drills : Quar terly participation mandat ory. 3. Non-Compliance : Written warning after ﬁrst offense; suspension after second. 12. Training and Development 1. Mandat ory Training : Completion within 60 days of assignment. 2. Non-Completion Impact : Dela ys in conﬁrmation, promotion,']",0.21,2.14,2.35,605,0.00010784999999999998
What is the criteria for probation extension?,"The employee has achieved at least 60% of their probationary objectives. 
                        b. A written PIP with measurable targets is issued within 5 working days of the 
                        original probation end date. 
                        c. The Department Head and HR Manager both sign off on the extension 
                        request. ",- The employee must have achieved at least 60% of their probationary objectives. - A written Performance Improvement Plan (PIP) with measurable targets must be issued within 5 working days of the original probation end date. - The extension request must be signed off by both the Department Head and the HR Manager.,"['or senior management roles, probation is 120 calendar days . ● Any probation may be extended only once , for a maximum of 90 additional days , provided that a Performance Impr ovement Plan (PIP) is appr oved by the HR Director. 2. Criteria for Probation Extension vvaannii33@gmail.com 4C9X1MFLJ7 This file is meant for personal use by vvaannii33@gmail.com only.', 'request. ● Emplo yees will be notiﬁed of extensions in writing at least 7 calendar days befor e the probation end date. 3. Impact on Beneﬁts, Seniority , and Contr act ● While on probation (including any extension), emplo yees are not eligible for: ○ Annual leave encashment ○ Internal role transf ers ○ Performance bonuses ● Seniority accrual starts only after successful', '● Extensions are granted only if : a. The emplo yee has achie ved at least 60% of their probationar y objectiv es. b. A written PIP with measur able targets is issued within 5 working days of the original probation end date. c. The Depar tment Head and HR Manager both sign off on the extension request. ● Emplo yees will be notiﬁed of extensions in writing at least']",0.35,1.59,1.94,628,0.00012254999999999997
When is the final probation review conducted?,Conducted within the last 10 working days of the probation period.,- The final probation review is conducted within the last 10 working days of the probation period.,"['Performance Review Process ● Mid-pr obation review: Conducted at 45 days for 90-da y probations, or at 60 days for 120-da y probations. ● Final probation review: Conducted within the last 10 working days of the probation period. vvaannii33@gmail.com 4C9X1MFLJ7 This file is meant for personal use by vvaannii33@gmail.com only. Sharing or publishing the contents in part or full is liable for legal action.', 'probation: ○ Step 1: Verbal warning (documented) within 24 hours of the obser ved issue. ○ Step 2: Written warning with a minimum 7 calendar days for impr ovement. ○ Step 3: Final written notice with immediate termination or a ﬁnal 15-da y remediation window (if the issue is performance-r elated). 6. Exit Procedur e & Timeline ● Company proper ty (ID badge, uniforms,', '● Review includes KPI scor ecar d , peer feedback, and compliance checks against company safety and conduct rules . 5. Conﬁrmation or Termination Process ● Conﬁrmation: Requir es written recommendation from the direct super visor and HR validation within 5 working days of the ﬁnal review . ● Termination during probation: ○ Step 1: Verbal warning (documented) within 24 hours of']",0.24,1.3,1.54,567,9.36e-05
When must the company property be returned by employee during the exit procedure?,"Company property (ID badge, uniforms, devices) must be returned on or before the last working day.","- Company property (ID badge, uniforms, devices) must be returned on or before the last working day.","['6. Exit Procedur e & Timeline ● Company proper ty (ID badge, uniforms, devices) must be returned on or befor e the last working day. ● Clear ance forms must be signed by Finance, IT, and Admin within 3 working days post-termination. ● Final salar y settlement is processed within 7 working days of clear ance completion. ● Exit inter view: Mandat ory and to be scheduled', '8. Payroll and Termination Procedures 1. Exit Checklist must be completed within 5 working days of last working day. 2. Final Settlement processed within 7 working days after clear ance. 3. Dela ys due to missing equipment or unpaid advances result in deduction from dues. 9. Performance-Related Employment Extensions 1. Extension Limit : Max 3 months beyond original probation.', 'probation: ○ Step 1: Verbal warning (documented) within 24 hours of the obser ved issue. ○ Step 2: Written warning with a minimum 7 calendar days for impr ovement. ○ Step 3: Final written notice with immediate termination or a ﬁnal 15-da y remediation window (if the issue is performance-r elated). 6. Exit Procedur e & Timeline ● Company proper ty (ID badge, uniforms,']",0.21,1.51,1.72,579,9.675e-05
